"","brand","fuel","year","age"
"238","TOYOTA","PHEV",2013,0
"239","TOYOTA","PHEV",2013,0
"240","TOYOTA","PHEV",2013,0
"241","TOYOTA","PHEV",2013,0
"242","TOYOTA","PHEV",2013,0
"243","TOYOTA","PHEV",2013,0
"244","TOYOTA","PHEV",2013,0
"245","TOYOTA","PHEV",2013,0
"246","TOYOTA","PHEV",2013,0
"247","TOYOTA","PHEV",2013,0
"248","TOYOTA","PHEV",2013,1
"249","TOYOTA","PHEV",2013,0
"250","TOYOTA","PHEV",2013,0
"251","TOYOTA","PHEV",2013,0
"252","TOYOTA","PHEV",2013,0
"253","TOYOTA","PHEV",2013,1
"254","TOYOTA","PHEV",2013,0
"255","TOYOTA","PHEV",2013,0
"256","TOYOTA","PHEV",2013,0
"257","TOYOTA","PHEV",2013,0
"258","TOYOTA","PHEV",2013,0
"259","TOYOTA","PHEV",2013,0
"260","TOYOTA","PHEV",2013,1
"261","TOYOTA","PHEV",2013,0
"262","TOYOTA","PHEV",2013,0
"263","TOYOTA","PHEV",2013,0
"264","TOYOTA","PHEV",2013,0
"265","TOYOTA","PHEV",2013,0
"266","TOYOTA","PHEV",2013,0
"267","TOYOTA","PHEV",2013,0
"268","TOYOTA","PHEV",2013,0
"269","TOYOTA","PHEV",2013,0
"270","TOYOTA","PHEV",2013,0
"271","TOYOTA","PHEV",2013,0
"272","TOYOTA","PHEV",2013,0
"273","TOYOTA","PHEV",2013,0
"274","TOYOTA","PHEV",2013,0
"275","TOYOTA","PHEV",2013,0
"276","TOYOTA","PHEV",2013,0
"277","TOYOTA","PHEV",2013,0
"278","TOYOTA","PHEV",2013,0
"279","TOYOTA","PHEV",2013,0
"280","TOYOTA","PHEV",2013,0
"281","LEXUS","PHEV",2013,0
"282","TOYOTA","PHEV",2013,0
"283","TOYOTA","PHEV",2013,0
"284","TOYOTA","PHEV",2013,0
"285","TOYOTA","PHEV",2013,0
"286","TOYOTA","PHEV",2013,0
"287","TOYOTA","PHEV",2013,0
"288","TOYOTA","PHEV",2013,0
"289","TOYOTA","PHEV",2013,0
"290","TOYOTA","PHEV",2013,0
"291","TOYOTA","PHEV",2013,0
"292","TOYOTA","PHEV",2013,0
"293","TOYOTA","PHEV",2013,0
"294","TOYOTA","PHEV",2013,0
"295","TOYOTA","PHEV",2013,0
"296","TOYOTA","PHEV",2013,0
"297","TOYOTA","PHEV",2013,0
"298","TOYOTA","PHEV",2013,0
"299","TOYOTA","PHEV",2013,0
"300","TOYOTA","PHEV",2013,0
"301","TOYOTA","PHEV",2013,0
"302","TOYOTA","PHEV",2013,0
"303","TOYOTA","PHEV",2013,0
"304","TOYOTA","PHEV",2013,0
"305","TOYOTA","PHEV",2013,0
"306","TOYOTA","PHEV",2013,0
"307","TOYOTA","PHEV",2013,0
"308","LEXUS","PHEV",2013,6
"309","TOYOTA","PHEV",2013,0
"310","TOYOTA","PHEV",2013,0
"311","TOYOTA","PHEV",2013,0
"312","TOYOTA","PHEV",2013,0
"313","TOYOTA","PHEV",2013,0
"314","TOYOTA","PHEV",2013,0
"315","TOYOTA","PHEV",2013,0
"316","TOYOTA","PHEV",2013,0
"317","TOYOTA","PHEV",2013,0
"318","TOYOTA","PHEV",2013,0
"319","TOYOTA","PHEV",2013,0
"320","TOYOTA","PHEV",2013,0
"321","TOYOTA","PHEV",2013,0
"322","TOYOTA","PHEV",2013,0
"323","TOYOTA","PHEV",2013,0
"324","TOYOTA","PHEV",2013,0
"325","TOYOTA","PHEV",2013,0
"326","TOYOTA","PHEV",2013,0
"327","TOYOTA","PHEV",2013,0
"328","TOYOTA","PHEV",2013,0
"329","TOYOTA","PHEV",2013,0
"330","TOYOTA","PHEV",2013,0
"331","TOYOTA","PHEV",2013,0
"332","TOYOTA","PHEV",2013,0
"333","TOYOTA","PHEV",2013,0
"334","TOYOTA","PHEV",2013,0
"335","TOYOTA","PHEV",2013,0
"336","TOYOTA","PHEV",2013,0
"337","TOYOTA","PHEV",2013,0
"338","LEXUS","PHEV",2013,0
"339","LEXUS","PHEV",2013,0
"340","LEXUS","PHEV",2013,0
"341","TOYOTA","PHEV",2013,0
"342","LEXUS","PHEV",2013,0
"343","TOYOTA","PHEV",2013,0
"344","TOYOTA","PHEV",2013,0
"345","LEXUS","PHEV",2013,0
"346","GEM","BEV",2013,11
"347","TOYOTA","PHEV",2014,1
"348","LEXUS","PHEV",2014,1
"349","LEXUS","PHEV",2014,1
"350","NISSAN","BEV",2014,2
"351","LEXUS","PHEV",2014,1
"352","TOYOTA","PHEV",2014,1
"353","TOYOTA","PHEV",2014,1
"354","TOYOTA","PHEV",2014,1
"355","TOYOTA","PHEV",2014,1
"356","TOYOTA","PHEV",2014,1
"357","TOYOTA","PHEV",2014,1
"358","TOYOTA","PHEV",2014,1
"359","TOYOTA","PHEV",2014,1
"360","TOYOTA","PHEV",2014,1
"361","TOYOTA","PHEV",2014,1
"362","TOYOTA","PHEV",2014,1
"363","TOYOTA","PHEV",2014,1
"364","TOYOTA","PHEV",2014,1
"365","TOYOTA","PHEV",2014,1
"366","TOYOTA","PHEV",2014,1
"367","TOYOTA","PHEV",2014,1
"368","TOYOTA","PHEV",2014,1
"369","TOYOTA","PHEV",2014,1
"370","TOYOTA","PHEV",2014,1
"371","TOYOTA","PHEV",2014,1
"372","TOYOTA","PHEV",2014,1
"373","TOYOTA","PHEV",2014,1
"374","TOYOTA","PHEV",2014,1
"375","TOYOTA","PHEV",2014,1
"376","TOYOTA","PHEV",2014,1
"377","TOYOTA","PHEV",2014,1
"378","TOYOTA","PHEV",2014,1
"379","TOYOTA","PHEV",2014,1
"380","TOYOTA","PHEV",2014,1
"381","TOYOTA","PHEV",2014,1
"382","TOYOTA","PHEV",2014,1
"383","TOYOTA","PHEV",2014,1
"384","TOYOTA","PHEV",2014,1
"385","TOYOTA","PHEV",2014,1
"386","TOYOTA","PHEV",2014,1
"387","TOYOTA","PHEV",2014,1
"388","TOYOTA","PHEV",2014,1
"389","TOYOTA","PHEV",2014,1
"390","TOYOTA","PHEV",2014,1
"391","TOYOTA","PHEV",2014,1
"392","TOYOTA","PHEV",2014,1
"393","TOYOTA","PHEV",2014,1
"394","TOYOTA","PHEV",2014,1
"395","TOYOTA","PHEV",2014,1
"396","TOYOTA","PHEV",2014,1
"397","TOYOTA","PHEV",2014,1
"398","TOYOTA","PHEV",2014,1
"399","TOYOTA","PHEV",2014,1
"400","TOYOTA","PHEV",2014,1
"401","TOYOTA","PHEV",2014,1
"402","TOYOTA","PHEV",2014,1
"403","TOYOTA","PHEV",2014,1
"404","TOYOTA","PHEV",2014,1
"405","TOYOTA","PHEV",2014,1
"406","TOYOTA","PHEV",2014,1
"407","TOYOTA","PHEV",2014,1
"408","TOYOTA","PHEV",2014,1
"409","TOYOTA","PHEV",2014,1
"410","TOYOTA","PHEV",2014,1
